chr 	start	end	enhancerID	Gene	Type	q-value	rho
chr1	33396650	33407650	enh-1001267	HDAC1	protein_coding	0.01173486	0.715789474
chr1	33396650	33407650	enh-1001267	S100PBP	protein_coding	0.046904051	0.568421053
chr1	33396650	33407650	enh-1001267	CSMD2	protein_coding	0.039956355	0.586466165
chr1	33523150	33528300	enh-1001274	MARCKSL1	protein_coding	0.015038084	0.691729323
chr1	33885700	33889000	enh-1001285	HPCA	protein_coding	0.018740059	0.669172932
chr1	36668100	36674200	enh-1001322	CSF3R	protein_coding	0.034541136	0.603007519
chr1	36813550	36820550	enh-1001340	CSF3R	protein_coding	0.004228138	0.784962406
chr1	40539950	40541600	enh-1001429	PPT1	protein_coding	0.022958796	0.648120301
chr1	40539950	40541600	enh-1001429	ZFP69B	protein_coding	0.012269452	0.711278195
chr1	40543700	40548900	enh-1001431	CAP1	protein_coding	0.048814002	0.563909774
chr1	40543700	40548900	enh-1001431	ZFP69B	protein_coding	0.01162641	0.717293233
chr1	41133750	41135450	enh-1001448	ZFP69	protein_coding	0.048814002	0.563909774
chr1	41335850	41348100	enh-1001464	PPT1	protein_coding	0.024606291	0.640601504
chr1	41335850	41348100	enh-1001464	RLF	protein_coding	0.02358024	0.645112782
chr1	41391700	41398900	enh-1001468	CITED4	protein_coding	0.031518	0.613533835
chr1	41391700	41398900	enh-1001468	PPT1	protein_coding	0.033599154	0.606015038
chr1	41391700	41398900	enh-1001468	RLF	protein_coding	0.047570637	0.566917293
chr1	41633450	41642100	enh-1001481	SCMH1	protein_coding	0.017593897	0.67518797
chr1	42850400	42851950	enh-1001548	RIMKLA	protein_coding	0.016370248	0.682706767
chr1	43392850	43393850	enh-1001560	SLC2A1	protein_coding	0.043838331	0.57593985
chr1	43521700	43526300	enh-1001568	SLC2A1	protein_coding	0.010814947	0.723308271
chr1	44309300	44311000	enh-1001608	CDC20	protein_coding	0.029388986	0.621052632
chr1	44309300	44311000	enh-1001608	PTPRF	protein_coding	0.021675718	0.654135338
chr1	46795300	46800700	enh-1001721	NASP	protein_coding	0.01980877	0.663157895
chr1	46795300	46800700	enh-1001721	RAD54L	protein_coding	0.012269452	0.711278195
chr1	46795300	46800700	enh-1001721	LRRC41	protein_coding	0.016156947	0.684210526
chr1	46783250	46794850	enh-1001723	NASP	protein_coding	0.036495289	0.596992481
chr1	46783250	46794850	enh-1001723	RAD54L	protein_coding	0.007105047	0.753383459
chr1	46783250	46794850	enh-1001723	LRRC41	protein_coding	0.018182739	0.672180451
chr1	48471350	48473850	enh-1001788	STIL	protein_coding	0.043305504	0.577443609
chr1	48483350	48486950	enh-1001789	STIL	protein_coding	0.011448362	0.718796992
chr1	48495900	48498250	enh-1001791	STIL	protein_coding	0.040525729	0.584962406
chr1	48570050	48573950	enh-1001800	STIL	protein_coding	0.003718396	0.789473684
chr1	53553450	53559550	enh-1001909	TXNDC12	protein_coding	0.007105047	0.753383459
chr1	53553450	53559550	enh-1001909	BTF3L4	protein_coding	0.02330238	0.646616541
chr1	53553450	53559550	enh-1001909	ZCCHC11	protein_coding	0.034170251	0.604511278
chr1	53647050	53650250	enh-1001919	TXNDC12	protein_coding	0.024606291	0.640601504
chr1	54004000	54012200	enh-1001940	GLIS1	protein_coding	0.013463388	0.702255639
chr1	59203700	59208250	enh-1002112	MYSM1	protein_coding	0.031518	0.613533835
chr1	59214850	59225550	enh-1002114	CYP2J2	protein_coding	0.013900251	0.69924812
chr1	59385150	59403050	enh-1002129	CYP2J2	protein_coding	0.022639745	0.64962406
chr1	59429350	59439100	enh-1002131	CYP2J2	protein_coding	0.01173486	0.715789474
chr1	59503800	59514800	enh-1002134	CYP2J2	protein_coding	0.014632872	0.694736842
chr1	59535050	59551700	enh-1002135	CYP2J2	protein_coding	0.017471863	0.676691729
chr1	59569700	59574100	enh-1002137	CYP2J2	protein_coding	0.035977482	0.598496241
chr1	59736550	59746700	enh-1002147	CYP2J2	protein_coding	0.047570637	0.566917293
chr1	60153700	60175750	enh-1002159	MYSM1	protein_coding	0.039005814	0.589473684
chr1	60202200	60206400	enh-1002162	CYP2J2	protein_coding	0.045681544	0.571428571
chr1	60206550	60226100	enh-1002164	MYSM1	protein_coding	0.032784851	0.609022556
chr1	85895950	85908100	enh-1002664	C1orf52	protein_coding	0.03029675	0.618045113
chr1	94425400	94432250	enh-1002881	ARHGAP29	protein_coding	0.039005814	0.589473684
chr1	100902450	100919550	enh-1003046	VCAM1	protein_coding	0.01980877	0.663157895
chr1	101071500	101097800	enh-1003051	SLC30A7	protein_coding	0.041577173	0.581954887
chr1	101071500	101097800	enh-1003051	VCAM1	protein_coding	0.032370458	0.610526316
chr1	101640700	101641950	enh-1003079	S1PR1	protein_coding	0.017593897	0.67518797
chr1	110073500	110076350	enh-1003163	AMPD2	protein_coding	0.046246048	0.569924812
chr1	110413250	110431150	enh-1003190	AMPD2	protein_coding	0.000771159	0.82406015
chr1	110413250	110431150	enh-1003190	CSF1	protein_coding	0.022039155	0.652631579
chr1	110413250	110431150	enh-1003190	GNAI3	protein_coding	0.020787056	0.658646617
chr1	110466450	110479850	enh-1003192	AMPD2	protein_coding	0	0.858646617
chr1	110466450	110479850	enh-1003192	GNAI3	protein_coding	0.042207258	0.580451128
chr1	111172750	111193500	enh-1003217	CD53	protein_coding	0.028271851	0.62556391
chr1	111754600	111766900	enh-1003219	DENND2D	protein_coding	0.013258548	0.703759398
chr1	111754600	111766900	enh-1003219	CHI3L2	protein_coding	0.025610751	0.636090226
chr1	111754600	111766900	enh-1003219	C1orf162	protein_coding	0.009868076	0.729323308
chr1	111754600	111766900	enh-1003219	ADORA3	protein_coding	0.013663988	0.70075188
chr1	111767150	111773450	enh-1003220	CEPT1	protein_coding	0.045681544	0.571428571
chr1	111767150	111773450	enh-1003220	DENND2D	protein_coding	0.017593897	0.67518797
chr1	111767150	111773450	enh-1003220	CHI3L2	protein_coding	0.012486915	0.709774436
chr1	111767150	111773450	enh-1003220	ADORA3	protein_coding	0.041577173	0.581954887
chr1	112141750	112149950	enh-1003227	ADORA3	protein_coding	0.034919515	0.601503759
chr1	113468950	113485600	enh-1003260	CAPZA1	protein_coding	0.032784851	0.609022556
chr1	117279400	117284550	enh-1003389	CD2	protein_coding	0.03805783	0.592481203
chr1	117279400	117284550	enh-1003389	CD101	protein_coding	0.011882525	0.714285714
chr1	117356650	117360850	enh-1003390	CD2	protein_coding	0.036966008	0.595488722
chr1	117356650	117360850	enh-1003390	CD101	protein_coding	0.016552328	0.681203008
chr1	150500200	150509100	enh-1003622	ADAMTSL4	protein_coding	0.002025402	0.809022556
chr1	150500200	150509100	enh-1003622	AL356356.1	protein_coding	0.004228138	0.784962406
chr1	150500200	150509100	enh-1003622	APH1A	protein_coding	0.011287254	0.720300752
chr1	150500200	150509100	enh-1003622	C1orf51	protein_coding	0.006055388	0.765413534
chr1	150500200	150509100	enh-1003622	PRPF3	protein_coding	0.034170251	0.604511278
chr1	150500200	150509100	enh-1003622	GOLPH3L	protein_coding	0.028580744	0.62406015
chr1	150500200	150509100	enh-1003622	SETDB1	protein_coding	0.003342953	0.793984962
chr1	150500200	150509100	enh-1003622	CTSS	protein_coding	0.04824587	0.565413534
chr1	150567000	150569500	enh-1003624	AL356356.1	protein_coding	0.042207258	0.580451128
chr1	150567000	150569500	enh-1003624	C1orf51	protein_coding	0.025970771	0.634586466
chr1	150580150	150590300	enh-1003626	ADAMTSL4	protein_coding	0.001700423	0.813533835
chr1	150580150	150590300	enh-1003626	AL356356.1	protein_coding	0.01162641	0.717293233
chr1	150580150	150590300	enh-1003626	APH1A	protein_coding	0.014632872	0.694736842
chr1	150580150	150590300	enh-1003626	C1orf51	protein_coding	0.015269289	0.690225564
chr1	150580150	150590300	enh-1003626	CDC42SE1	protein_coding	0.02112261	0.657142857
chr1	150580150	150590300	enh-1003626	CTSS	protein_coding	0	0.836090226
chr1	151280450	151289950	enh-1003648	S100A10	protein_coding	0.02330238	0.646616541
chr1	151540650	151544750	enh-1003667	PSMD4	protein_coding	0.045681544	0.571428571
chr1	151540650	151544750	enh-1003667	VPS72	protein_coding	0.012709869	0.708270677
chr1	151540650	151544750	enh-1003667	S100A10	protein_coding	0.011448362	0.718796992
chr1	152117800	152119650	enh-1003709	TCHH	protein_coding	0.009167319	0.735338346
chr1	152130700	152145800	enh-1003712	TCHH	protein_coding	0.025970771	0.634586466
chr1	152430250	152433750	enh-1003723	TCHH	protein_coding	0.043838331	0.57593985
chr1	152430250	152433750	enh-1003723	CRNN	protein_coding	0.024015209	0.632200053
chr1	152451300	152456500	enh-1003724	TCHH	protein_coding	0.02008924	0.661654135
chr1	153460300	153466600	enh-1003727	CREB3L4	protein_coding	0.025610751	0.636090226
chr1	153476750	153484700	enh-1003729	RPS27	protein_coding	0.031518	0.613533835
chr1	153476750	153484700	enh-1003729	S100A16	protein_coding	0.043838331	0.57593985
chr1	153476750	153484700	enh-1003729	SNAPIN	protein_coding	0.033152498	0.607518797
chr1	153476750	153484700	enh-1003729	DENND4B	protein_coding	0.013663988	0.70075188
chr1	153476750	153484700	enh-1003729	CREB3L4	protein_coding	0.000771159	0.82406015
chr1	153476750	153484700	enh-1003729	SLC27A3	protein_coding	0.024254752	0.642105263
chr1	153476750	153484700	enh-1003729	TPM3	protein_coding	0.035494353	0.6
chr1	153544400	153546950	enh-1003734	SLC39A1	protein_coding	0.003519961	0.792481203
chr1	153544400	153546950	enh-1003734	S100A4	protein_coding	0.044388317	0.57443609
chr1	153544400	153546950	enh-1003734	S100A16	protein_coding	0	0.872180451
chr1	153544400	153546950	enh-1003734	S100A13	protein_coding	0.011882525	0.714285714
chr1	153544400	153546950	enh-1003734	SLC27A3	protein_coding	0.029388986	0.621052632
chr1	153544400	153546950	enh-1003734	TPM3	protein_coding	0.018481523	0.670676692
chr1	153771300	153780400	enh-1003751	S100A3	protein_coding	0.02358024	0.645112782
chr1	153771300	153780400	enh-1003751	S100A4	protein_coding	0.009343032	0.733834586
chr1	153771300	153780400	enh-1003751	S100A16	protein_coding	0.019534536	0.664661654
chr1	153771300	153780400	enh-1003751	CRTC2	protein_coding	0.048814002	0.563909774
chr1	153771300	153780400	enh-1003751	NUP210L	protein_coding	0.02987969	0.619548872
chr1	153771300	153780400	enh-1003751	TPM3	protein_coding	0.03029675	0.618045113
chr1	154430600	154444550	enh-1003771	UBE2Q1	protein_coding	0.026791493	0.631578947
chr1	154430600	154444550	enh-1003771	CKS1B	protein_coding	0.02358024	0.645112782
chr1	154430600	154444550	enh-1003771	UBAP2L	protein_coding	0.036495289	0.596992481
chr1	154430600	154444550	enh-1003771	SHC1	protein_coding	0.021391354	0.655639098
chr1	154430600	154444550	enh-1003771	EFNA3	protein_coding	0.027576535	0.628571429
chr1	154586800	154597550	enh-1003777	EFNA3	protein_coding	0.04104761	0.583458647
chr1	154684300	154694200	enh-1003778	UBE2Q1	protein_coding	0.007322229	0.75037594
chr1	154684300	154694200	enh-1003778	CKS1B	protein_coding	0.02526631	0.637593985
chr1	154684300	154694200	enh-1003778	UBAP2L	protein_coding	0.01980877	0.663157895
chr1	154684300	154694200	enh-1003778	SHC1	protein_coding	0.003075549	0.796992481
chr1	154684300	154694200	enh-1003778	KCNN3	protein_coding	0.045106078	0.572932331
chr1	154684300	154694200	enh-1003778	EFNA3	protein_coding	0.003867147	0.787969925
chr1	154958900	154960600	enh-1003792	CKS1B	protein_coding	0.043838331	0.57593985
chr1	154996300	154999750	enh-1003795	DCST1	protein_coding	0.006230334	0.763909774
chr1	154996300	154999750	enh-1003795	EFNA3	protein_coding	0.042725569	0.578947368
chr1	155605200	155609100	enh-1003821	THBS3	protein_coding	0.031115882	0.615037594
chr1	155613600	155613850	enh-1003822	FAM189B	protein_coding	0.039956355	0.586466165
chr1	155613900	155622200	enh-1003823	TRIM46	protein_coding	0.01552578	0.688721805
chr1	156750600	156753050	enh-1003866	TTC24	protein_coding	0.012311538	0.697254656
chr1	156750600	156753050	enh-1003866	ISG20L2	protein_coding	0.029388986	0.621052632
chr1	156750600	156753050	enh-1003866	SH2D2A	protein_coding	0.012486915	0.709774436
chr1	156750600	156753050	enh-1003866	IQGAP3	protein_coding	0	0.876691729
chr1	156750600	156753050	enh-1003866	PRCC	protein_coding	0.017593897	0.67518797
chr1	158114050	158125450	enh-1003903	CD1D	protein_coding	0.049409474	0.562406015
chr1	159179400	159184950	enh-1003912	DUSP23	protein_coding	0.046246048	0.569924812
chr1	159857950	159861950	enh-1003942	SLAMF8	protein_coding	0.03199025	0.612030075
chr1	159857950	159861950	enh-1003942	FCRL6	protein_coding	0.004629364	0.780451128
chr1	160575200	160578000	enh-1003966	SLAMF7	protein_coding	0.034919515	0.601503759
chr1	160575200	160578000	enh-1003966	ARHGAP30	protein_coding	0.040525729	0.584962406
chr1	160575200	160578000	enh-1003966	CD244	protein_coding	0.02112261	0.657142857
chr1	160736250	160738700	enh-1003973	USF1	protein_coding	0.03199025	0.612030075
chr1	160736250	160738700	enh-1003973	SLAMF6	protein_coding	0.031115882	0.615037594
chr1	160736250	160738700	enh-1003973	CD84	protein_coding	0.039956355	0.586466165
chr1	160736250	160738700	enh-1003973	CD48	protein_coding	0.02526631	0.637593985
chr1	160736250	160738700	enh-1003973	SLAMF7	protein_coding	0.043305504	0.577443609
chr1	160736250	160738700	enh-1003973	ARHGAP30	protein_coding	0.016552328	0.681203008
chr1	160736250	160738700	enh-1003973	CD244	protein_coding	0.008693539	0.739849624
chr1	161358100	161361850	enh-1003999	HSPA6	protein_coding	0.029388986	0.621052632
chr1	161358100	161361850	enh-1003999	FCER1G	protein_coding	0.027189622	0.630075188
chr1	161358100	161361850	enh-1003999	OLFML2B	protein_coding	0.02112261	0.657142857
chr1	161358100	161361850	enh-1003999	FCGR2A	protein_coding	0.039956355	0.586466165
chr1	161377650	161383650	enh-1004000	ADAMTS4	protein_coding	0.014773553	0.693233083
chr1	161377650	161383650	enh-1004000	FCER1G	protein_coding	0.04104761	0.583458647
chr1	161377650	161383650	enh-1004000	FCGR3A	protein_coding	0.017899231	0.673684211
chr1	161377650	161383650	enh-1004000	FCGR3B	protein_coding	0.012486915	0.709774436
chr1	161408600	161410450	enh-1004002	HSPA6	protein_coding	0.043838331	0.57593985
chr1	161408600	161410450	enh-1004002	FCER1G	protein_coding	0.02358024	0.645112782
chr1	161408600	161410450	enh-1004002	FCGR3A	protein_coding	0.012269452	0.711278195
chr1	161408600	161410450	enh-1004002	FCGR3B	protein_coding	0.031518	0.613533835
chr1	161408600	161410450	enh-1004002	OLFML2B	protein_coding	0.04824587	0.565413534
chr1	161408600	161410450	enh-1004002	SH2D1B	protein_coding	0.02358024	0.645112782
chr1	161456350	161458850	enh-1004003	HSPA6	protein_coding	0.003342953	0.793984962
chr1	161456350	161458850	enh-1004003	FCER1G	protein_coding	0.013663988	0.70075188
chr1	161456350	161458850	enh-1004003	FCGR3A	protein_coding	0.041577173	0.581954887
chr1	161456350	161458850	enh-1004003	OLFML2B	protein_coding	0.007505547	0.74887218
chr1	161456350	161458850	enh-1004003	FCGR2B	protein_coding	0.033152498	0.607518797
chr1	161456350	161458850	enh-1004003	FCGR2A	protein_coding	0.014773553	0.693233083
chr1	161497850	161504350	enh-1004005	HSPA6	protein_coding	0.012269452	0.711278195
chr1	161497850	161504350	enh-1004005	FCER1G	protein_coding	0.030765927	0.616541353
chr1	161497850	161504350	enh-1004005	DUSP12	protein_coding	0.039468134	0.587969925
chr1	161497850	161504350	enh-1004005	OLFML2B	protein_coding	0.018986402	0.667669173
chr1	161497850	161504350	enh-1004005	UAP1	protein_coding	0.045106078	0.572932331
chr1	161497850	161504350	enh-1004005	FCGR2B	protein_coding	0.021391354	0.655639098
chr1	161497850	161504350	enh-1004005	ATF6	protein_coding	0.040525729	0.584962406
chr1	161497850	161504350	enh-1004005	FCGR2A	protein_coding	0.03199025	0.612030075
chr1	161913850	161926200	enh-1004025	HSPA6	protein_coding	0.01926654	0.666165414
chr1	161913850	161926200	enh-1004025	FCER1G	protein_coding	0.02330238	0.646616541
chr1	161913850	161926200	enh-1004025	FCGR3A	protein_coding	0.024606291	0.640601504
chr1	161913850	161926200	enh-1004025	FCGR3B	protein_coding	0.032784851	0.609022556
chr1	161913850	161926200	enh-1004025	OLFML2B	protein_coding	0.012709869	0.708270677
chr1	161913850	161926200	enh-1004025	SH2D1B	protein_coding	0.04824587	0.565413534
chr1	161913850	161926200	enh-1004025	FCGR2A	protein_coding	0.028271851	0.62556391
chr1	162631700	162662850	enh-1004063	FCGR3A	protein_coding	0.046904051	0.568421053
chr1	162631700	162662850	enh-1004063	OLFML2B	protein_coding	0.044388317	0.57443609
chr1	166165650	166167750	enh-1004141	FAM78B	protein_coding	0.006230334	0.763909774
chr1	167050750	167054150	enh-1004163	CREG1	protein_coding	0.028580744	0.62406015
chr1	167415200	167418650	enh-1004176	GPA33	protein_coding	0.045681544	0.571428571
chr1	167415200	167418650	enh-1004176	CD247	protein_coding	0.018986402	0.667669173
chr1	167577700	167590900	enh-1004180	GPA33	protein_coding	0.029388986	0.621052632
chr1	167577700	167590900	enh-1004180	CD247	protein_coding	0.035977482	0.598496241
chr1	167681400	167687850	enh-1004182	SFT2D2	protein_coding	0.033599154	0.606015038
chr1	167758450	167775950	enh-1004191	MPZL1	protein_coding	0.007505547	0.74887218
chr1	167758450	167775950	enh-1004191	SFT2D2	protein_coding	0.01926654	0.666165414
chr1	168376050	168380350	enh-1004219	BLZF1	protein_coding	0.025610751	0.636090226
chr1	171399700	171406500	enh-1004313	FASLG	protein_coding	0.025970771	0.634586466
chr1	171399700	171406500	enh-1004313	PRRC2C	protein_coding	0.002958896	0.798496241
chr1	171399700	171406500	enh-1004313	PIGC	protein_coding	8.40E-05	0.831578947
chr1	171548800	171553800	enh-1004325	PIGC	protein_coding	0.044388317	0.57443609
chr1	171560500	171590150	enh-1004329	FASLG	protein_coding	0.022039155	0.652631579
chr1	171560500	171590150	enh-1004329	PRRC2C	protein_coding	0.025610751	0.636090226
chr1	171560500	171590150	enh-1004329	MYOC	protein_coding	0.02987969	0.619548872
chr1	171560500	171590150	enh-1004329	METTL13	protein_coding	0.046904051	0.568421053
chr1	171560500	171590150	enh-1004329	PIGC	protein_coding	0	0.836090226
chr1	181094900	181113250	enh-1004647	STX6	protein_coding	0.005079262	0.77593985
chr1	181094900	181113250	enh-1004647	IER5	protein_coding	0.015269289	0.690225564
chr1	181094900	181113250	enh-1004647	MR1	protein_coding	0.013463388	0.702255639
chr1	181094900	181113250	enh-1004647	ACBD6	protein_coding	0.024919543	0.639097744
chr1	183178000	183179850	enh-1004720	ARPC5	protein_coding	0.041577173	0.581954887
chr1	183178000	183179850	enh-1004720	LAMC1	protein_coding	0.042207258	0.580451128
chr1	183565200	183581000	enh-1004739	NCF2	protein_coding	0.000504043	0.827067669
chr1	183565200	183581000	enh-1004739	ARPC5	protein_coding	0.005847473	0.766917293
chr1	183565200	183581000	enh-1004739	LAMC1	protein_coding	0.011882525	0.714285714
chr1	184758700	184763950	enh-1004766	RNF2	protein_coding	0.017093836	0.678195489
chr1	185341400	185347750	enh-1004788	RNF2	protein_coding	0.039005814	0.589473684
chr1	192475650	192476750	enh-1004869	RGS13	protein_coding	0.041577173	0.581954887
chr1	192479850	192488500	enh-1004870	RGS13	protein_coding	0.004513685	0.781954887
chr1	192489000	192495150	enh-1004871	RGS1	protein_coding	0.020787056	0.658646617
chr1	192489000	192495150	enh-1004871	RGS13	protein_coding	0.027189622	0.630075188
chr1	192512000	192525300	enh-1004875	RGS1	protein_coding	0.028580744	0.62406015
