enhancerID	genes
chr1_110075399_110075418_enh-1003163_10	"AMIGO1 (-23105), GPR61 (-7085)"
chr1_110075402_110075421_enh-1003163_4	"AMIGO1 (-23108), GPR61 (-7082)"
chr1_110075403_110075422_enh-1003163_22	"AMIGO1 (-23109), GPR61 (-7081)"
chr1_110075406_110075425_enh-1003163_29	"AMIGO1 (-23112), GPR61 (-7078)"
chr1_110075407_110075426_enh-1003163_31	"AMIGO1 (-23113), GPR61 (-7077)"
chr1_110075411_110075430_enh-1003163_8	"AMIGO1 (-23117), GPR61 (-7073)"
chr1_110075412_110075431_enh-1003163_19	"AMIGO1 (-23118), GPR61 (-7072)"
chr1_110075413_110075432_enh-1003163_2	"AMIGO1 (-23119), GPR61 (-7071)"
chr1_110075414_110075433_enh-1003163_3	"AMIGO1 (-23120), GPR61 (-7070)"
chr1_110075414_110075433_enh-1003163_5	"AMIGO1 (-23120), GPR61 (-7070)"
chr1_110075415_110075434_enh-1003163_6	"AMIGO1 (-23121), GPR61 (-7069)"
chr1_110075428_110075447_enh-1003163_1	"AMIGO1 (-23134), GPR61 (-7056)"
chr1_110075431_110075450_enh-1003163_4	"AMIGO1 (-23137), GPR61 (-7053)"
chr1_110075432_110075451_enh-1003163_32	"AMIGO1 (-23138), GPR61 (-7052)"
chr1_110075433_110075452_enh-1003163_39	"AMIGO1 (-23139), GPR61 (-7051)"
chr1_110075437_110075456_enh-1003163_22	"AMIGO1 (-23143), GPR61 (-7047)"
chr1_110075445_110075464_enh-1003163_34	"AMIGO1 (-23151), GPR61 (-7039)"
chr1_110075446_110075465_enh-1003163_20	"AMIGO1 (-23152), GPR61 (-7038)"
chr1_110075451_110075470_enh-1003163_38	"AMIGO1 (-23157), GPR61 (-7033)"
chr1_154959426_154959445_enh-1003792_11	"LENEP (-6628), FLAD1 (+3587)"
chr1_154959427_154959446_enh-1003792_9	"LENEP (-6627), FLAD1 (+3588)"
chr1_154959438_154959457_enh-1003792_1	"LENEP (-6616), FLAD1 (+3599)"
chr1_154959439_154959458_enh-1003792_2	"LENEP (-6615), FLAD1 (+3600)"
chr1_154959440_154959459_enh-1003792_8	"LENEP (-6614), FLAD1 (+3601)"
chr1_154959465_154959484_enh-1003792_6	"LENEP (-6589), FLAD1 (+3626)"
chr1_154959469_154959488_enh-1003792_4	"LENEP (-6585), FLAD1 (+3630)"
chr1_154959485_154959504_enh-1003792_3	"LENEP (-6569), FLAD1 (+3646)"
chr1_154959486_154959505_enh-1003792_7	"LENEP (-6568), FLAD1 (+3647)"
chr1_154959493_154959512_enh-1003792_10	"LENEP (-6561), FLAD1 (+3654)"
chr1_154959520_154959539_enh-1003792_5	"LENEP (-6534), FLAD1 (+3681)"
chr1_154959698_154959717_enh-1003792_2	"LENEP (-6356), FLAD1 (+3859)"
chr1_154959703_154959722_enh-1003792_10	"LENEP (-6351), FLAD1 (+3864)"
chr1_154959747_154959766_enh-1003792_18	"LENEP (-6307), FLAD1 (+3908)"
chr1_154959748_154959767_enh-1003792_19	"LENEP (-6306), FLAD1 (+3909)"
chr1_154959793_154959812_enh-1003792_17	"LENEP (-6261), FLAD1 (+3954)"
chr1_154959798_154959817_enh-1003792_7	"LENEP (-6256), FLAD1 (+3959)"
chr1_154959799_154959818_enh-1003792_8	"LENEP (-6255), FLAD1 (+3960)"
chr1_154959803_154959822_enh-1003792_6	"LENEP (-6251), FLAD1 (+3964)"
chr1_154959818_154959837_enh-1003792_4	"LENEP (-6236), FLAD1 (+3979)"
chr1_154959819_154959838_enh-1003792_12	"LENEP (-6235), FLAD1 (+3980)"
chr1_154959825_154959844_enh-1003792_15	"LENEP (-6229), FLAD1 (+3986)"
chr1_154959831_154959850_enh-1003792_3	"LENEP (-6223), FLAD1 (+3992)"
chr1_154959832_154959851_enh-1003792_11	"LENEP (-6222), FLAD1 (+3993)"
chr1_154959833_154959852_enh-1003792_5	"LENEP (-6221), FLAD1 (+3994)"
chr1_154959834_154959853_enh-1003792_1	"LENEP (-6220), FLAD1 (+3995)"
chr1_154959838_154959857_enh-1003792_14	"LENEP (-6216), FLAD1 (+3999)"
chr1_154959839_154959858_enh-1003792_13	"LENEP (-6215), FLAD1 (+4000)"
chr1_154959840_154959859_enh-1003792_9	"LENEP (-6214), FLAD1 (+4001)"
chr1_154959844_154959863_enh-1003792_16	"LENEP (-6210), FLAD1 (+4005)"
chr1_154959857_154959876_enh-1003792_17	"LENEP (-6197), FLAD1 (+4018)"
chr1_154959887_154959906_enh-1003792_5	"LENEP (-6167), FLAD1 (+4048)"
chr1_154959894_154959913_enh-1003792_10	"LENEP (-6160), FLAD1 (+4055)"
chr1_154959897_154959916_enh-1003792_7	"LENEP (-6157), FLAD1 (+4058)"
chr1_154959899_154959918_enh-1003792_16	"LENEP (-6155), FLAD1 (+4060)"
chr1_154959936_154959955_enh-1003792_15	"LENEP (-6118), FLAD1 (+4097)"
chr1_154959968_154959987_enh-1003792_13	"LENEP (-6086), FLAD1 (+4129)"
chr1_154959982_154960001_enh-1003792_9	"LENEP (-6072), FLAD1 (+4143)"
chr1_154959991_154960010_enh-1003792_1	"LENEP (-6063), FLAD1 (+4152)"
chr1_171560603_171560622_enh-1004329_3	"MYOC (+61198), PRRC2C (+105918)"
chr1_171560610_171560629_enh-1004329_4	"MYOC (+61191), PRRC2C (+105925)"
chr1_171560622_171560641_enh-1004329_5	"MYOC (+61179), PRRC2C (+105937)"
chr1_171560655_171560674_enh-1004329_6	"MYOC (+61146), PRRC2C (+105970)"
chr1_171560659_171560678_enh-1004329_1	"MYOC (+61142), PRRC2C (+105974)"
chr1_171560661_171560680_enh-1004329_2	"MYOC (+61140), PRRC2C (+105976)"
chr1_171560742_171560761_enh-1004329_1	"MYOC (+61059), PRRC2C (+106057)"
chr1_171564278_171564297_enh-1004329_6	"MYOC (+57523), PRRC2C (+109593)"
chr1_171564288_171564307_enh-1004329_5	"MYOC (+57513), PRRC2C (+109603)"
chr1_171564331_171564350_enh-1004329_7	"MYOC (+57470), PRRC2C (+109646)"
chr1_171564348_171564367_enh-1004329_1	"MYOC (+57453), PRRC2C (+109663)"
chr1_171564380_171564399_enh-1004329_2	"MYOC (+57421), PRRC2C (+109695)"
chr1_171564412_171564431_enh-1004329_3	"MYOC (+57389), PRRC2C (+109727)"
chr1_171564432_171564451_enh-1004329_4	"MYOC (+57369), PRRC2C (+109747)"
chr1_171565278_171565297_enh-1004329_2	"MYOC (+56523), PRRC2C (+110593)"
chr1_171565282_171565301_enh-1004329_3	"MYOC (+56519), PRRC2C (+110597)"
chr1_171565312_171565331_enh-1004329_4	"MYOC (+56489), PRRC2C (+110627)"
chr1_171565427_171565446_enh-1004329_1	"MYOC (+56374), PRRC2C (+110742)"
chr1_171565989_171566008_enh-1004329_3	"MYOC (+55812), PRRC2C (+111304)"
chr1_171566015_171566034_enh-1004329_5	"MYOC (+55786), PRRC2C (+111330)"
chr1_171566022_171566041_enh-1004329_4	"MYOC (+55779), PRRC2C (+111337)"
chr1_171566138_171566157_enh-1004329_6	"MYOC (+55663), PRRC2C (+111453)"
chr1_171566146_171566165_enh-1004329_1	"MYOC (+55655), PRRC2C (+111461)"
chr1_171566153_171566172_enh-1004329_2	"MYOC (+55648), PRRC2C (+111468)"
chr1_171567092_171567111_enh-1004329_3	"MYOC (+54709), PRRC2C (+112407)"
chr1_171567093_171567112_enh-1004329_2	"MYOC (+54708), PRRC2C (+112408)"
chr1_171567094_171567113_enh-1004329_1	"MYOC (+54707), PRRC2C (+112409)"
chr1_171568786_171568805_enh-1004329_1	"MYOC (+53015), PRRC2C (+114101)"
chr1_171576324_171576343_enh-1004329_1	"MYOC (+45477), PRRC2C (+121639)"
chr1_171577970_171577989_enh-1004329_9	"MYOC (+43831), PRRC2C (+123285)"
chr1_171578023_171578042_enh-1004329_8	"MYOC (+43778), PRRC2C (+123338)"
chr1_171578028_171578047_enh-1004329_2	"MYOC (+43773), PRRC2C (+123343)"
chr1_171578033_171578052_enh-1004329_6	"MYOC (+43768), PRRC2C (+123348)"
chr1_171578036_171578055_enh-1004329_5	"MYOC (+43765), PRRC2C (+123351)"
chr1_171578065_171578084_enh-1004329_3	"MYOC (+43736), PRRC2C (+123380)"
chr1_171578068_171578087_enh-1004329_4	"MYOC (+43733), PRRC2C (+123383)"
chr1_171578081_171578100_enh-1004329_7	"MYOC (+43720), PRRC2C (+123396)"
chr1_171578086_171578105_enh-1004329_1	"MYOC (+43715), PRRC2C (+123401)"
chr1_171578107_171578126_enh-1004329_9	"MYOC (+43694), PRRC2C (+123422)"
chr1_171578112_171578131_enh-1004329_15	"MYOC (+43689), PRRC2C (+123427)"
chr1_171578117_171578136_enh-1004329_1	"MYOC (+43684), PRRC2C (+123432)"
chr1_171578120_171578139_enh-1004329_2	"MYOC (+43681), PRRC2C (+123435)"
chr1_171578124_171578143_enh-1004329_11	"MYOC (+43677), PRRC2C (+123439)"
chr1_171578141_171578160_enh-1004329_12	"MYOC (+43660), PRRC2C (+123456)"
chr1_171578150_171578169_enh-1004329_3	"MYOC (+43651), PRRC2C (+123465)"
chr1_171578180_171578199_enh-1004329_5	"MYOC (+43621), PRRC2C (+123495)"
chr1_171578185_171578204_enh-1004329_10	"MYOC (+43616), PRRC2C (+123500)"
chr1_171584330_171584349_enh-1004329_3	"MYOC (+37471), PRRC2C (+129645)"
chr1_171584367_171584386_enh-1004329_4	"MYOC (+37434), PRRC2C (+129682)"
chr1_171584385_171584404_enh-1004329_1	"MYOC (+37416), PRRC2C (+129700)"
chr1_171584387_171584406_enh-1004329_2	"MYOC (+37414), PRRC2C (+129702)"
chr1_171584395_171584414_enh-1004329_5	"MYOC (+37406), PRRC2C (+129710)"
chr1_171586682_171586701_enh-1004329_2	"MYOC (+35119), PRRC2C (+131997)"
chr1_171586709_171586728_enh-1004329_1	"MYOC (+35092), PRRC2C (+132024)"
chr1_171586714_171586733_enh-1004329_3	"MYOC (+35087), PRRC2C (+132029)"
chr1_17517093_17517112_enh-1000609_10	"PADI2 (-71173), PADI1 (-14518)"
chr1_17517145_17517164_enh-1000609_2	"PADI2 (-71225), PADI1 (-14466)"
chr1_17517146_17517165_enh-1000609_8	"PADI2 (-71226), PADI1 (-14465)"
chr1_17517151_17517170_enh-1000609_3	"PADI2 (-71231), PADI1 (-14460)"
chr1_17517152_17517171_enh-1000609_7	"PADI2 (-71232), PADI1 (-14459)"
chr1_17517186_17517205_enh-1000609_5	"PADI2 (-71266), PADI1 (-14425)"
chr1_17517189_17517208_enh-1000609_1	"PADI2 (-71269), PADI1 (-14422)"
chr1_17517216_17517235_enh-1000609_6	"PADI2 (-71296), PADI1 (-14395)"
chr1_17517247_17517266_enh-1000609_4	"PADI2 (-71327), PADI1 (-14364)"
chr1_17517252_17517271_enh-1000609_9	"PADI2 (-71332), PADI1 (-14359)"
chr1_17517254_17517273_enh-1000609_7	"PADI2 (-71334), PADI1 (-14357)"
chr1_17517540_17517559_enh-1000609_1	"PADI2 (-71620), PADI1 (-14071)"
chr1_17517545_17517564_enh-1000609_2	"PADI2 (-71625), PADI1 (-14066)"
chr1_17521257_17521276_enh-1000609_4	"PADI2 (-75337), PADI1 (-10354)"
chr1_17521259_17521278_enh-1000609_1	"PADI2 (-75339), PADI1 (-10352)"
chr1_17521260_17521279_enh-1000609_2	"PADI2 (-75340), PADI1 (-10351)"
chr1_17521261_17521280_enh-1000609_3	"PADI2 (-75341), PADI1 (-10350)"
chr1_17521262_17521281_enh-1000609_7	"PADI2 (-75342), PADI1 (-10349)"
chr1_17521270_17521289_enh-1000609_5	"PADI2 (-75350), PADI1 (-10341)"
chr1_17521271_17521290_enh-1000609_6	"PADI2 (-75351), PADI1 (-10340)"
chr1_17521278_17521297_enh-1000609_9	"PADI2 (-75358), PADI1 (-10333)"
chr1_17521284_17521303_enh-1000609_11	"PADI2 (-75364), PADI1 (-10327)"
chr1_17521302_17521321_enh-1000609_12	"PADI2 (-75382), PADI1 (-10309)"
chr1_17521303_17521322_enh-1000609_13	"PADI2 (-75383), PADI1 (-10308)"
chr1_17521303_17521322_enh-1000609_8	"PADI2 (-75383), PADI1 (-10308)"
chr1_17521304_17521323_enh-1000609_10	"PADI2 (-75384), PADI1 (-10307)"
chr1_17523479_17523498_enh-1000609_10	"PADI2 (-77559), PADI1 (-8132)"
chr1_17523480_17523499_enh-1000609_23	"PADI2 (-77560), PADI1 (-8131)"
chr1_17523498_17523517_enh-1000609_13	"PADI2 (-77578), PADI1 (-8113)"
chr1_17523504_17523523_enh-1000609_22	"PADI2 (-77584), PADI1 (-8107)"
chr1_17523505_17523524_enh-1000609_19	"PADI2 (-77585), PADI1 (-8106)"
chr1_17523510_17523529_enh-1000609_4	"PADI2 (-77590), PADI1 (-8101)"
chr1_17523524_17523543_enh-1000609_20	"PADI2 (-77604), PADI1 (-8087)"
chr1_17523525_17523544_enh-1000609_6	"PADI2 (-77605), PADI1 (-8086)"
chr1_17523526_17523545_enh-1000609_17	"PADI2 (-77606), PADI1 (-8085)"
chr1_17523527_17523546_enh-1000609_8	"PADI2 (-77607), PADI1 (-8084)"
chr1_17523543_17523562_enh-1000609_14	"PADI2 (-77623), PADI1 (-8068)"
chr1_17523579_17523598_enh-1000609_21	"PADI2 (-77659), PADI1 (-8032)"
chr1_17523584_17523603_enh-1000609_15	"PADI2 (-77664), PADI1 (-8027)"
chr1_17523584_17523603_enh-1000609_3	"PADI2 (-77664), PADI1 (-8027)"
chr1_17523596_17523615_enh-1000609_5	"PADI2 (-77676), PADI1 (-8015)"
chr1_17523597_17523616_enh-1000609_1	"PADI2 (-77677), PADI1 (-8014)"
chr1_17523597_17523616_enh-1000609_16	"PADI2 (-77677), PADI1 (-8014)"
chr1_17523598_17523617_enh-1000609_7	"PADI2 (-77678), PADI1 (-8013)"
chr1_17523604_17523623_enh-1000609_18	"PADI2 (-77684), PADI1 (-8007)"
chr1_17523605_17523624_enh-1000609_9	"PADI2 (-77685), PADI1 (-8006)"
chr1_17523617_17523636_enh-1000609_2	"PADI2 (-77697), PADI1 (-7994)"
chr1_17523628_17523647_enh-1000609_11	"PADI2 (-77708), PADI1 (-7983)"
chr1_17523644_17523663_enh-1000609_12	"PADI2 (-77724), PADI1 (-7967)"
chr1_17523675_17523694_enh-1000609_8	"PADI2 (-77755), PADI1 (-7936)"
chr1_17523676_17523695_enh-1000609_11	"PADI2 (-77756), PADI1 (-7935)"
chr1_17523677_17523696_enh-1000609_7	"PADI2 (-77757), PADI1 (-7934)"
chr1_17523684_17523703_enh-1000609_2	"PADI2 (-77764), PADI1 (-7927)"
chr1_17523684_17523703_enh-1000609_5	"PADI2 (-77764), PADI1 (-7927)"
chr1_17523685_17523704_enh-1000609_16	"PADI2 (-77765), PADI1 (-7926)"
chr1_181097366_181097385_enh-1004647_2	"CACNA1E (-355505), MR1 (+94237)"
chr1_181097456_181097475_enh-1004647_3	"CACNA1E (-355415), MR1 (+94327)"
chr1_181097467_181097486_enh-1004647_1	"CACNA1E (-355404), MR1 (+94338)"
chr1_181097553_181097572_enh-1004647_1	"CACNA1E (-355318), MR1 (+94424)"
chr1_181097592_181097611_enh-1004647_1	"CACNA1E (-355279), MR1 (+94463)"
chr1_181099079_181099098_enh-1004647_6	"CACNA1E (-353792), MR1 (+95950)"
chr1_181099080_181099099_enh-1004647_5	"CACNA1E (-353791), MR1 (+95951)"
chr1_181099103_181099122_enh-1004647_4	"CACNA1E (-353768), MR1 (+95974)"
chr1_181099114_181099133_enh-1004647_2	"CACNA1E (-353757), MR1 (+95985)"
chr1_181099194_181099213_enh-1004647_1	"CACNA1E (-353677), MR1 (+96065)"
chr1_181099195_181099214_enh-1004647_3	"CACNA1E (-353676), MR1 (+96066)"
chr1_181102858_181102877_enh-1004647_4	"CACNA1E (-350013), MR1 (+99729)"
chr1_181102860_181102879_enh-1004647_1	"CACNA1E (-350011), MR1 (+99731)"
chr1_181102944_181102963_enh-1004647_2	"CACNA1E (-349927), MR1 (+99815)"
chr1_181102949_181102968_enh-1004647_3	"CACNA1E (-349922), MR1 (+99820)"
chr1_181104040_181104059_enh-1004647_3	"CACNA1E (-348831), MR1 (+100911)"
chr1_181104096_181104115_enh-1004647_2	"CACNA1E (-348775), MR1 (+100967)"
chr1_181104101_181104120_enh-1004647_1	"CACNA1E (-348770), MR1 (+100972)"
chr1_181104114_181104133_enh-1004647_3	"CACNA1E (-348757), MR1 (+100985)"
chr1_181104280_181104299_enh-1004647_7	"CACNA1E (-348591), MR1 (+101151)"
chr1_181104367_181104386_enh-1004647_1	"CACNA1E (-348504), MR1 (+101238)"
chr1_181104368_181104387_enh-1004647_4	"CACNA1E (-348503), MR1 (+101239)"
chr1_181104371_181104390_enh-1004647_2	"CACNA1E (-348500), MR1 (+101242)"
chr1_181104372_181104391_enh-1004647_3	"CACNA1E (-348499), MR1 (+101243)"
chr1_181104375_181104394_enh-1004647_6	"CACNA1E (-348496), MR1 (+101246)"
chr1_181104402_181104421_enh-1004647_5	"CACNA1E (-348469), MR1 (+101273)"
chr1_181104618_181104637_enh-1004647_1	"CACNA1E (-348253), MR1 (+101489)"
chr1_181104682_181104701_enh-1004647_2	"CACNA1E (-348189), MR1 (+101553)"
chr1_181105385_181105404_enh-1004647_2	"CACNA1E (-347486), MR1 (+102256)"
chr1_181105391_181105410_enh-1004647_4	"CACNA1E (-347480), MR1 (+102262)"
chr1_181105414_181105433_enh-1004647_1	"CACNA1E (-347457), MR1 (+102285)"
chr1_181105430_181105449_enh-1004647_3	"CACNA1E (-347441), MR1 (+102301)"
chr1_181105559_181105578_enh-1004647_1	"CACNA1E (-347312), MR1 (+102430)"
chr1_181110201_181110220_enh-1004647_1	"CACNA1E (-342670), MR1 (+107072)"
chr1_181110211_181110230_enh-1004647_2	"CACNA1E (-342660), MR1 (+107082)"
chr1_181111438_181111457_enh-1004647_7	"CACNA1E (-341433), MR1 (+108309)"
chr1_181111441_181111460_enh-1004647_6	"CACNA1E (-341430), MR1 (+108312)"
chr1_181111457_181111476_enh-1004647_1	"CACNA1E (-341414), MR1 (+108328)"
chr1_181111458_181111477_enh-1004647_5	"CACNA1E (-341413), MR1 (+108329)"
chr1_181111469_181111488_enh-1004647_4	"CACNA1E (-341402), MR1 (+108340)"
chr1_181111476_181111495_enh-1004647_2	"CACNA1E (-341395), MR1 (+108347)"
chr1_181111481_181111500_enh-1004647_3	"CACNA1E (-341390), MR1 (+108352)"
chr1_181111515_181111534_enh-1004647_8	"CACNA1E (-341356), MR1 (+108386)"
chr1_181111520_181111539_enh-1004647_13	"CACNA1E (-341351), MR1 (+108391)"
chr1_181111534_181111553_enh-1004647_9	"CACNA1E (-341337), MR1 (+108405)"
chr1_181111535_181111554_enh-1004647_2	"CACNA1E (-341336), MR1 (+108406)"
chr1_181111540_181111559_enh-1004647_3	"CACNA1E (-341331), MR1 (+108411)"
chr1_181111541_181111560_enh-1004647_14	"CACNA1E (-341330), MR1 (+108412)"
chr1_181111541_181111560_enh-1004647_7	"CACNA1E (-341330), MR1 (+108412)"
chr1_181111548_181111567_enh-1004647_12	"CACNA1E (-341323), MR1 (+108419)"
chr1_181111797_181111816_enh-1004647_2	"CACNA1E (-341074), MR1 (+108668)"
chr1_181111798_181111817_enh-1004647_5	"CACNA1E (-341073), MR1 (+108669)"
chr1_181111812_181111831_enh-1004647_4	"CACNA1E (-341059), MR1 (+108683)"
chr1_181111813_181111832_enh-1004647_3	"CACNA1E (-341058), MR1 (+108684)"
chr1_181111892_181111911_enh-1004647_1	"CACNA1E (-340979), MR1 (+108763)"
chr1_21197599_21197618_enh-1000735_9	"HP1BP3 (-84428), EIF4G3 (+305734)"
chr1_21197627_21197646_enh-1000735_3	"HP1BP3 (-84456), EIF4G3 (+305706)"
chr1_21197632_21197651_enh-1000735_4	"HP1BP3 (-84461), EIF4G3 (+305701)"
chr1_21197642_21197661_enh-1000735_6	"HP1BP3 (-84471), EIF4G3 (+305691)"
chr1_21197645_21197664_enh-1000735_1	"HP1BP3 (-84474), EIF4G3 (+305688)"
chr1_21197670_21197689_enh-1000735_2	"HP1BP3 (-84499), EIF4G3 (+305663)"
chr1_21197684_21197703_enh-1000735_8	"HP1BP3 (-84513), EIF4G3 (+305649)"
chr1_21197744_21197763_enh-1000735_7	"HP1BP3 (-84573), EIF4G3 (+305589)"
chr1_21197750_21197769_enh-1000735_5	"HP1BP3 (-84579), EIF4G3 (+305583)"
chr1_21197811_21197830_enh-1000735_20	"HP1BP3 (-84640), EIF4G3 (+305522)"
chr1_21197812_21197831_enh-1000735_19	"HP1BP3 (-84641), EIF4G3 (+305521)"
chr1_21197839_21197858_enh-1000735_6	"HP1BP3 (-84668), EIF4G3 (+305494)"
chr1_21197868_21197887_enh-1000735_8	"HP1BP3 (-84697), EIF4G3 (+305465)"
chr1_21197873_21197892_enh-1000735_4	"HP1BP3 (-84702), EIF4G3 (+305460)"
chr1_21197874_21197893_enh-1000735_14	"HP1BP3 (-84703), EIF4G3 (+305459)"
chr1_21197875_21197894_enh-1000735_1	"HP1BP3 (-84704), EIF4G3 (+305458)"
chr1_21197880_21197899_enh-1000735_9	"HP1BP3 (-84709), EIF4G3 (+305453)"
chr1_21197881_21197900_enh-1000735_2	"HP1BP3 (-84710), EIF4G3 (+305452)"
chr1_21197890_21197909_enh-1000735_15	"HP1BP3 (-84719), EIF4G3 (+305443)"
chr1_21197892_21197911_enh-1000735_10	"HP1BP3 (-84721), EIF4G3 (+305441)"
chr1_21197897_21197916_enh-1000735_7	"HP1BP3 (-84726), EIF4G3 (+305436)"
chr1_21197922_21197941_enh-1000735_13	"HP1BP3 (-84751), EIF4G3 (+305411)"
chr1_21197923_21197942_enh-1000735_12	"HP1BP3 (-84752), EIF4G3 (+305410)"
chr1_21197924_21197943_enh-1000735_5	"HP1BP3 (-84753), EIF4G3 (+305409)"
chr1_21197926_21197945_enh-1000735_3	"HP1BP3 (-84755), EIF4G3 (+305407)"
chr1_21197927_21197946_enh-1000735_11	"HP1BP3 (-84756), EIF4G3 (+305406)"
chr1_21197928_21197947_enh-1000735_16	"HP1BP3 (-84757), EIF4G3 (+305405)"
chr1_21197931_21197950_enh-1000735_18	"HP1BP3 (-84760), EIF4G3 (+305402)"
chr1_21197943_21197962_enh-1000735_17	"HP1BP3 (-84772), EIF4G3 (+305390)"
chr1_21197960_21197979_enh-1000735_2	"HP1BP3 (-84789), EIF4G3 (+305373)"
chr1_21197961_21197980_enh-1000735_6	"HP1BP3 (-84790), EIF4G3 (+305372)"
chr1_21197979_21197998_enh-1000735_14	"HP1BP3 (-84808), EIF4G3 (+305354)"
chr1_21197980_21197999_enh-1000735_15	"HP1BP3 (-84809), EIF4G3 (+305353)"
chr1_21198012_21198031_enh-1000735_18	"HP1BP3 (-84841), EIF4G3 (+305321)"
chr1_21198013_21198032_enh-1000735_8	"HP1BP3 (-84842), EIF4G3 (+305320)"
chr1_21198016_21198035_enh-1000735_11	"HP1BP3 (-84845), EIF4G3 (+305317)"
chr1_21198048_21198067_enh-1000735_10	"HP1BP3 (-84877), EIF4G3 (+305285)"
chr1_21198049_21198068_enh-1000735_9	"HP1BP3 (-84878), EIF4G3 (+305284)"
chr1_21198063_21198082_enh-1000735_12	"HP1BP3 (-84892), EIF4G3 (+305270)"
chr1_21198070_21198089_enh-1000735_13	"HP1BP3 (-84899), EIF4G3 (+305263)"
chr1_21198078_21198097_enh-1000735_4	"HP1BP3 (-84907), EIF4G3 (+305255)"
chr1_21198083_21198102_enh-1000735_5	"HP1BP3 (-84912), EIF4G3 (+305250)"
chr1_21198086_21198105_enh-1000735_1	"HP1BP3 (-84915), EIF4G3 (+305247)"
chr1_21199179_21199198_enh-1000735_2	"HP1BP3 (-86008), EIF4G3 (+304154)"
chr1_21199182_21199201_enh-1000735_1	"HP1BP3 (-86011), EIF4G3 (+304151)"
chr1_215802448_215802467_enh-1005668_2	"KCTD3 (+61723), USH2A (+794280)"
chr1_215802549_215802568_enh-1005668_3	"KCTD3 (+61824), USH2A (+794179)"
chr1_215802550_215802569_enh-1005668_4	"KCTD3 (+61825), USH2A (+794178)"
chr1_215802556_215802575_enh-1005668_1	"KCTD3 (+61831), USH2A (+794172)"
chr1_215802564_215802583_enh-1005668_5	"KCTD3 (+61839), USH2A (+794164)"
chr1_215802610_215802629_enh-1005668_5	"KCTD3 (+61885), USH2A (+794118)"
chr1_215802620_215802639_enh-1005668_1	"KCTD3 (+61895), USH2A (+794108)"
chr1_215802689_215802708_enh-1005668_2	"KCTD3 (+61964), USH2A (+794039)"
